,player,year,g,mp,per,bpm,vorp,class
1835,Alen Smailagić,2019-20,14.0,9.9,14.5,-2.2,0.0,below average
1836,Matt Thomas,2019-20,41.0,10.7,13.3,1.1,0.3,below average
1837,Allonzo Trier,2019-20,24.0,12.1,14.5,-0.4,0.1,below average
1838,Denzel Valentine,2019-20,36.0,13.6,13.0,-0.6,0.2,below average
1839,Noah Vonleh,2019-20,36.0,10.5,15.5,-1.0,0.1,below average
1840,Dean Wade,2019-20,12.0,5.9,13.9,-1.3,0.0,below average
1841,Moritz Wagner,2019-20,45.0,18.6,15.1,-2.3,-0.1,below average
1842,Dion Waiters,2019-20,10.0,20.7,11.5,-1.2,0.0,below average
1843,Derrick Walton,2019-20,26.0,9.5,8.7,-1.0,0.1,below average
1844,Yuta Watanabe,2019-20,18.0,5.8,11.2,-1.7,0.0,below average
1845,Paul Watson,2019-20,10.0,8.7,12.6,-0.2,0.0,below average
1846,Johnathan Williams,2019-20,15.0,12.0,14.0,-2.0,0.0,below average
1847,Robert Williams,2019-20,29.0,13.4,23.1,5.1,0.7,below average
1848,Ante Žižić,2019-20,22.0,10.0,16.4,-3.2,-0.1,below average
1849,LaMarcus Aldridge,2020-21,26.0,25.9,15.7,-0.3,0.3,below average
1850,Ryan Arcidiacono,2020-21,44.0,10.2,9.8,-2.3,0.0,below average
1851,Mo Bamba,2020-21,46.0,15.8,19.3,0.1,0.4,below average
1852,Keita Bates-Diop,2020-21,30.0,8.2,12.0,-1.9,0.0,below average
1853,Patrick Beverley,2020-21,37.0,22.5,12.0,0.7,0.6,below average
1854,Goga Bitadze,2020-21,45.0,12.5,16.3,-1.0,0.1,below average
1855,Nemanja Bjelica,2020-21,37.0,16.1,12.9,-2.2,0.0,below average
1856,Tony Bradley,2020-21,42.0,16.3,20.7,1.3,0.6,below average
1857,Jarrell Brantley,2020-21,28.0,4.9,16.6,2.2,0.1,below average
1858,Oshae Brissett,2020-21,21.0,24.7,17.2,0.6,0.3,below average
1859,Moses Brown,2020-21,43.0,21.4,18.8,-2.4,-0.1,below average
1860,Thomas Bryant,2020-21,10.0,27.1,18.7,0.9,0.2,below average
1861,Devontae Cacok,2020-21,20.0,4.9,17.2,-1.0,0.0,below average
1862,Vlatko Čančar,2020-21,41.0,6.9,9.7,-2.6,0.0,below average
1863,Jevon Carter,2020-21,60.0,12.0,12.2,0.5,0.5,below average
1864,Chris Chiozza,2020-21,22.0,10.5,12.9,-0.7,0.1,below average
1865,Nic Claxton,2020-21,32.0,18.6,16.9,0.4,0.4,below average
1866,Amir Coffey,2020-21,44.0,9.0,10.1,-2.0,0.0,below average
1867,Quinn Cook,2020-21,23.0,6.8,12.7,-1.2,0.0,below average
1868,Tyler Cook,2020-21,32.0,13.7,12.8,-3.0,-0.1,below average
1869,DeMarcus Cousins,2020-21,41.0,17.4,16.4,0.4,0.4,below average
1870,Torrey Craig,2020-21,50.0,16.1,14.2,0.4,0.5,below average
1871,Ed Davis,2020-21,23.0,13.0,13.1,-2.2,0.0,below average
1872,Gabriel Deck,2020-21,10.0,21.2,16.1,-0.4,0.1,below average
1873,Dewayne Dedmon,2020-21,16.0,13.1,24.5,1.7,0.2,below average
1874,Mamadi Diakite,2020-21,14.0,10.1,12.3,-2.4,0.0,below average
1875,Gorgui Dieng,2020-21,38.0,14.5,19.2,3.4,0.7,below average
1876,Devon Dotson,2020-21,11.0,4.5,19.3,2.1,0.1,below average
1877,Drew Eubanks,2020-21,54.0,14.0,17.9,0.0,0.4,below average
1878,Tacko Fall,2020-21,19.0,7.2,19.6,1.2,0.1,below average
1879,Cristiano Felício,2020-21,18.0,4.7,14.7,0.1,0.0,below average
1880,Yogi Ferrell,2020-21,10.0,13.6,14.4,0.2,0.1,below average
1881,Trent Forrest,2020-21,30.0,10.1,11.2,-1.3,0.1,below average
1882,Robert Franks,2020-21,7.0,14.4,16.5,-0.2,0.0,below average
1883,Langston Galloway,2020-21,40.0,11.0,12.1,-0.9,0.1,below average
1884,Harry Giles,2020-21,38.0,9.2,12.4,-2.9,-0.1,below average
1885,Anthony Gill,2020-21,26.0,8.4,13.7,-1.3,0.0,below average
1886,Freddie Gillespie,2020-21,20.0,19.6,13.4,-3.2,-0.1,below average
1887,Eric Gordon,2020-21,27.0,29.2,14.4,-1.1,0.2,below average
1888,Javonte Green,2020-21,41.0,11.5,12.1,-0.5,0.2,below average
1889,Donta Hall,2020-21,13.0,13.8,22.3,1.6,0.2,below average
1890,Jalen Harris,2020-21,13.0,13.2,15.2,0.3,0.1,below average
1891,Isaiah Hartenstein,2020-21,46.0,12.2,17.9,-0.9,0.2,below average
1892,Willy Hernangómez,2020-21,47.0,18.0,19.6,0.0,0.4,below average
1893,George Hill,2020-21,30.0,22.4,13.1,-1.2,0.1,below average
1894,Jaylen Hoard,2020-21,19.0,16.8,13.4,-2.5,0.0,below average
1895,Rondae Hollis-Jefferson,2020-21,11.0,9.7,14.4,0.1,0.1,below average
1896,De'Andre Hunter,2020-21,23.0,29.5,15.7,1.2,0.5,below average
1897,Ersan İlyasova,2020-21,17.0,8.7,12.1,-0.9,0.0,below average
1898,Frank Jackson,2020-21,40.0,18.5,13.3,-1.7,0.1,below average
1899,Jaren Jackson Jr.,2020-21,11.0,23.5,18.0,0.1,0.1,below average
1900,Ty Jerome,2020-21,33.0,23.9,13.4,-0.7,0.3,below average
1901,Alize Johnson,2020-21,18.0,10.5,23.5,2.7,0.2,below average
1902,Damian Jones,2020-21,39.0,14.0,14.6,-1.4,0.1,below average
1903,Mason Jones,2020-21,32.0,10.4,12.1,-2.7,-0.1,below average
1904,Tre Jones,2020-21,37.0,7.3,12.1,-3.5,-0.1,below average
1905,Frank Kaminsky,2020-21,47.0,15.2,15.8,1.3,0.6,below average
1906,Nathan Knight,2020-21,33.0,8.5,13.9,-3.7,-0.1,below average
1907,Kevin Knox,2020-21,42.0,11.0,9.1,-1.4,0.1,below average
